x,y,s,id,cnt
0,4096,4096,1,27
4096,4096,4096,1,27
8192,0,8192,1,27
2048,12288,2048,1,27
4096,14336,2048,1,27
8192,8192,4096,1,27
12288,8192,4096,1,27
12288,12288,4096,1,27
16384,0,8192,1,27
24576,0,8192,1,27
16384,8192,8192,1,27
24576,8192,8192,1,27
0,20480,2048,0,27
0,24576,4096,0,27
4096,28672,4096,0,27
10240,24576,2048,0,27
14336,26624,2048,0,27
20480,16384,4096,1,27
24576,16384,8192,1,27
21504,25600,1024,1,27
16384,28672,2048,0,27
27136,31232,512,0,27
30720,28672,2048,1,27
32768,0,16384,1,22
49152,0,8192,1,22
57344,4096,2048,1,22
60416,6144,1024,1,22
62464,10240,1024,2,22
32768,16384,8192,1,22
32768,24576,4096,1,22
47104,30720,2048,2,22
56320,16384,1024,2,22
59392,18432,2048,2,22
63488,16384,2048,2,22
57344,20480,4096,2,22
51200,26624,2048,2,22
49152,28672,4096,2,22
57344,24576,4096,2,22
61440,24576,4096,2,22
0,32768,8192,0,20
8192,32768,8192,0,20
0,40960,8192,0,20
8192,40960,8192,0,20
16384,32768,4096,0,20
16384,36864,4096,0,20
25600,38912,1024,0,20
24576,40960,1024,0,20
29696,40960,1024,3,20
0,49152,8192,0,20
8192,49152,8192,0,20
14336,61440,2048,0,20
22592,51328,64,3,20
16384,55296,2048,0,20
26624,51200,2048,3,20
28672,49152,4096,3,20
24576,59392,2048,3,20
24576,61440,2048,3,20
28672,61440,4096,3,20
32768,34816,2048,3,29
40960,39936,1024,3,29
32768,40960,4096,3,29
45056,44032,512,3,29
53248,32768,4096,2,29
49152,36864,4096,2,29
53248,36864,4096,2,29
57344,32768,8192,2,29
49152,47104,1024,2,29
57344,40960,8192,2,29
32768,49152,8192,3,29
40960,49152,4096,3,29
32768,57344,8192,3,29
40960,57344,8192,3,29
57344,49152,4096,2,29
49152,63488,2048,3,29
59392,57344,2048,2,29
61440,61440,2048,2,29
13970.066568685088,41627.125798549874,5,-2,0
28584.393415155067,11814.834601949806,5,-2,0
60074.590625553785,37157.18241715399,5,-2,0
38108.29403581267,55882.87095041322,5,-2,0
